state_name,county,city,city_ascii
Alabama,Mobile,Semmes,Semmes
Alabama,Mobile,Theodore,Theodore
Alabama,Mobile,Citronelle,Citronelle
Alabama,Mobile,Grand Bay,Grand Bay
Alabama,Mobile,Creola,Creola
Alabama,Mobile,Bayou La Batre,Bayou La Batre
Alabama,Mobile,Dauphin Island,Dauphin Island
Alabama,Mobile,Mount Vernon,Mount Vernon
Alabama,Mobile,Belle Fontaine,Belle Fontaine
Alabama,Mobile,Axis,Axis
Alabama,Mobile,Chunchula,Chunchula
Alabama,Mobile,Movico,Movico
Alabama,Mobile,Gulfcrest,Gulfcrest
Alabama,Mobile,Bucks,Bucks
Alabama,Monroe,Monroeville,Monroeville
Alabama,Monroe,Frisco City,Frisco City
Alabama,Monroe,Excel,Excel
Alabama,Monroe,Uriah,Uriah
Alabama,Monroe,Beatrice,Beatrice
Alabama,Monroe,Vredenburgh,Vredenburgh
Alabama,Monroe,Peterman,Peterman
Alabama,Monroe,Megargel,Megargel
Alabama,Montgomery,Montgomery,Montgomery
Alabama,Montgomery,Pike Road,Pike Road
Alabama,Morgan,Decatur,Decatur
Alabama,Morgan,Hartselle,Hartselle
Alabama,Morgan,Priceville,Priceville
Alabama,Morgan,Trinity,Trinity
Alabama,Morgan,Falkville,Falkville
Alabama,Morgan,Eva,Eva
Alabama,Morgan,Somerville,Somerville
Alabama,Perry,Marion,Marion
Alabama,Perry,Uniontown,Uniontown
Alabama,Pickens,Aliceville,Aliceville
Alabama,Pickens,Reform,Reform
Alabama,Pickens,Gordo,Gordo
Alabama,Pickens,Carrollton,Carrollton
Alabama,Pickens,Pickensville,Pickensville
Alabama,Pickens,Macedonia,Macedonia
Alabama,Pickens,Ethelsville,Ethelsville
Alabama,Pickens,Memphis,Memphis
Alabama,Pickens,McMullen,McMullen
Alabama,Pike,Troy,Troy
Alabama,Pike,Brundidge,Brundidge
Alabama,Pike,Goshen,Goshen
Alabama,Pike,Banks,Banks
Alabama,Randolph,Roanoke,Roanoke
Alabama,Randolph,Wedowee,Wedowee
Alabama,Randolph,Wadley,Wadley
Alabama,Randolph,Woodland,Woodland
Alabama,Randolph,Rock Mills,Rock Mills
